"Malli";"Numero";"Kohteen osoite";"Postinumero";"Postitoimipaikka";"Sijaintipaikan tyyppi";"Sijaintipaikka";"Aukioloaika";"Aukioloaika (lisätiedot)";"Koordinaatti LAT";"Koordinaatti LON"
"P";="05675";"KIRKKOTIE 175";="07170";"PORNAINEN";"PANKIN KONTTORI";"OP PORNAINEN";="24 H AUKIOLO";="";"60.477300";"25.374350"
"O";="05179";"HELKAMÄENTIE 15";="07230";"MONNINKYLÄ";"PANKIN KONTTORI";"OP MONNINKYLÄ";="24 H AUKIOLO";="";"60.493045";"25.540345"
"O";="04275";"KOIVULINNANTIE 3";="07560";"PUKKILA";"PANKIN KONTTORI";"OP PUKKILA";="24 H AUKIOLO";="";"60.645421";"25.579407"
"O";="04537";"VIRASTOTIE 4";="07600";"MYRSKYLÄ";"PANKIN KONTTORI";"OP MYRSKYLÄ";="24 H AUKIOLO";="";"60.669680";"25.852170"
"P";="05817";"VANHANKYLÄNTIE 77";="07740";"VANHAKYLÄ";"LIIKENNEPAIKKA";"ABC KUNINKAANTIE";="24 H AUKIOLO";="";"60.485739";"25.892715"
"O";="04911";"LAPINJÄRVENTIE 14 A";="07800";"LAPINJÄRVI";"KAUPPA";"K-EXTRA LAPINJÄRVI";="24 H AUKIOLO";="";"60.623260";"26.197930"
"O";="03987";"KOIVISTONTIE 2 A";="07830";"PUKARO";"HUOLTOASEMA";"PUKARON PARONI";="24 H AUKIOLO";="";"60.671043";"26.251426"
"O";="04059";"ALEKSANTERINKATU 8";="07900";"LOVIISA";"PANKIN KONTTORI";"OP LOVIISA";="24 H AUKIOLO";="";"60.457280";"26.224109"
"O";="04993";"ARKKITEHDINTIE 5";="07900";"LOVIISA";"KAUPPA";"S-MARKET LOVIISA";="24 H AUKIOLO";="";"60.452873";"26.206474"
"P";="05747";"BRANDESTEININKATU 11";="07900";"LOVIISA";"PANKIN KONTTORI";"AKTIA LOVIISA";="24 H AUKIOLO";="";"60.456575";"26.225532"
"T";="40142";"KUNINGATTARENKATU 11";="07900";"LOVIISA";"KAUPPAKESKUS";"LOVIISAN GALLERIA";="LIIKETILAN AUKIOLO";="ma-pe klo 09:00 - 18:00 la 09:00 -14:00";"60.456320";"26.227560"
"O";="04731";"KUNINGATTARENKATU 15";="07900";"LOVIISA";"PANKIN KONTTORI";"NORDEA LOVIISA";="24 H AUKIOLO";="";"60.457700";"26.226090"
"O";="04318";"KOIVULANMÄENTIE 1";="07970";"RUOTSINPYHTÄÄ";"PANKIN KONTTORI";"OP RUOTSINPYHTÄÄ";="24 H AUKIOLO";="";"60.522780";"26.469080"
"T";="40061";"KAUPPAKATU 5-9";="08100";"LOHJA";"KAUPPAKESKUS";"LOHJANTÄHTI";="LIIKETILAN AUKIOLO";="";"60.249650";"24.066050"
"P";="05840";"LAURINKATU 39";="08100";"LOHJA";"TAVARATALO";"PRISMA LOHJA";="24 H AUKIOLO";="";"60.248518";"24.062126"
"P";="05762";"LAURINKATU 48";="08100";"LOHJA";"PANKIN KONTTORI";"SP LOHJA";="24 H AUKIOLO";="";"60.250944";"24.064840"
"O";="04565";"SUURLOHJANKATU 9";="08100";"LOHJA";"TAVARATALO";"SOKOS LOHJA";="24 H AUKIOLO";="";"60.250997";"24.069456"
"O";="04598";"OJAMONHARJUNTIE 61";="08200";"LOHJA";"TAVARATALO";"K-CITYMARKET LOHJA / OJAMO";="24 H AUKIOLO";="";"60.227376";"24.026646"
"EP";="05632";"OJAMONHARJUNTIE 61";="08200";"LOHJA";"TAVARATALO";"K-CITYMARKET LOHJA / OJAMO";="LIIKETILAN AUKIOLO";="";"60.227376";"24.026646"
"EP";="05576";"HOSSANMÄENTIE 1";="08350";"LOHJA";"LIIKENNEPAIKKA";"ABC LOHJA";="LIIKETILAN AUKIOLO";="";"60.292321";"24.061783"
"P";="05872";"MÄNTYNUMMENTIE 46";="08500";"LOHJA";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"60.274210";"24.132220"
"P";="05849";"TIETOLANTIE 1";="08700";"LOHJA";"KAUPPA";"VALINTATALO VIRKKALA";="24 H AUKIOLO";="";"60.191486";"23.998646"
"O";="04435";"HAKOSENKUJA 2";="09120";"KARJALOHJA";"KAUPPA";"SALE KARJALOHJA";="24 H AUKIOLO";="";"60.244598";"23.731404"
"O";="05198";"KAUPPAKUJA 3";="09430";"SAUKKOLA";"PANKIN KONTTORI";"OP SAUKKOLA";="24 H AUKIOLO";="";"60.380436";"23.959745"
"P";="05848";"OLA WESTMANIN PUISTOTIE 9";="10210";"INKOO";"KAUPPA";"S-MARKET INKOO";="24 H AUKIOLO";="";"60.045390";"24.004620"
"P";="05662";"KAUPPIAANKATU 10";="10300";"KARJAA";"PANKIN KONTTORI";"AKTIA KARJAA";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 06-23";"60.070500";"23.659370"
"O";="04276";"KAUPPIAANKATU 11";="10300";"KARJAA";"PANKIN KONTTORI";"NORDEA KARJAA";="24 H AUKIOLO";="";"60.070942";"23.659344"
"O";="04376";"KAUPPIAANKATU 6";="10300";"KARJAA";"PANKIN KONTTORI";"OP KARJAA";="24 H AUKIOLO";="";"60.070098";"23.659764"
"T";="40114";"RATAKATU 59";="10300";"KARJAA";"KAUPPA";"K-SUPERMARKET KARIS-KARJAA";="LIIKETILAN AUKIOLO";="";"60.070620";"23.663150"
"P";="05722";"VANHA TURUNTIE 73";="10420";"POHJANKURU";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"60.095840";"23.525370"
"P";="05699";"PITÄJÄNTIE 24";="10520";"TENHOLA";"PANKIN KONTTORI";"AKTIA TENHOLA";="24 H AUKIOLO";="";"60.058615";"23.305064"
"O";="04342";"ASEMATIE 1";="10600";"TAMMISAARI";"PANKIN KONTTORI";"OP TAMMISAARI";="24 H AUKIOLO";="";"59.976366";"23.438749"
"P";="05661";"ASEMATIE 6";="10600";"TAMMISAARI";"PANKIN KONTTORI";"SP TAMMISAARI";="24 H AUKIOLO";="";"59.976993";"23.440325"
"O";="03799";"KUNINGATTARENKATU 4";="10600";"TAMMISAARI";"PANKIN KONTTORI";"NORDEA TAMMISAARI";="24 H AUKIOLO";="";"59.974642";"23.437621"
"P";="05664";"RAASEPORINTIE 14";="10650";"TAMMISAARI";"KAUPPA";"K-SUPERMARKET POPSI";="24 H AUKIOLO";="";"59.978370";"23.463910"
"P";="05700";"NYCANDERINKATU 18";="10900";"HANKO";"PANKIN KONTTORI";"AKTIA HANKO";="24 H AUKIOLO";="";"59.824691";"22.964629"
"P";="05772";"REVELLINKATU 2";="10900";"HANKO";"KAUPPA";"K-SUPERMARKET HANKO";="24 H AUKIOLO";="";"59.828346";"22.965856"
"O";="03800";"VUORIKATU 12";="10900";"HANKO";"PANKIN KONTTORI";"NORDEA HANKO";="24 H AUKIOLO";="";"59.825131";"22.967640"
"O";="04314";"KESKUSKATU 12";="11100";"RIIHIMÄKI";"PANKIN KONTTORI";"OP RIIHIMÄKI";="24 H AUKIOLO";="";"60.738344";"24.773246"
"O";="05115";"LOPENTIE 22";="11100";"RIIHIMÄKI";"KAUPPA";"S-MARKET HIRSIMÄKI";="24 H AUKIOLO";="";"60.731541";"24.762811"
"O";="04094";"VOIMALANKATU 2";="11100";"RIIHIMÄKI";"TAVARATALO";"PRISMA RIIHIMÄKI";="LIIKETILAN AUKIOLO";="";"60.732470";"24.776630"
"O";="04663";"VOIMALANKATU 2";="11100";"RIIHIMÄKI";"TAVARATALO";"PRISMA RIIHIMÄKI";="24 H AUKIOLO";="";"60.732070";"24.777580"
"T";="40045";"VOIMALANKATU 2";="11100";"RIIHIMÄKI";"KAUPPAKESKUS";"ATOMI";="LIIKETILAN AUKIOLO";="";"60.732950";"24.777730"
"EP";="05529";"KINTURINTIE 2";="11120";"RIIHIMÄKI";"LIIKENNEPAIKKA";"ABC RIIHIMÄKI";="LIIKETILAN AUKIOLO";="";"60.751044";"24.737960"
"O";="05084";"KONTIONTIE 34";="11120";"RIIHIMÄKI";"KAUPPA";"K-MARKET OTSO";="24 H AUKIOLO";="";"60.747558";"24.769215"
"P";="05821";"PELTOSAARENKATU 1";="11130";"RIIHIMÄKI";"KAUPPA";"VALINTATALO PELTOSAARI";="24 H AUKIOLO";="";"60.738979";"24.800927"
"O";="03790";"MERKOKSENKATU 5";="11710";"RIIHIMÄKI";"TAVARATALO";"K-CITYMARKET RIIHIMÄKI";="24 H AUKIOLO";="";"60.721910";"24.734110"
"O";="04752";"KESKUSTIE 1";="12100";"OITTI";"PANKIN KONTTORI";"OP RIIHIMÄKI / OITTI";="24 H AUKIOLO";="";"60.786999";"25.027894"
"P";="05667";"HEIMOLANTIE 1";="12400";"TERVAKOSKI";"PANKIN KONTTORI";"OP TERVAKOSKI";="24 H AUKIOLO";="";"60.816527";"24.630774"
"EP";="05565";"HELSINGINTIE 1426";="12400";"TERVAKOSKI";"HUOLTOASEMA";"NESTE LINNATUULI";="LIIKETILAN AUKIOLO";="";"60.849160";"24.605990"
"O";="03988";"LÄYLIÄISTENRAITTI 96";="12600";"LÄYLIÄINEN";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"60.624840";"24.460390"
"P";="05724";"YHDYSTIE 3";="12700";"LOPPI";"KAUPPA";"S-MARKET LOPPI";="24 H AUKIOLO";="";"60.720528";"24.442797"
"P";="05818";"ETELÄKATU 14";="13100";"HÄMEENLINNA";"KAUPPAKESKUS";"TAVASTILA";="24 H AUKIOLO";="";"60.993679";"24.460397"
"O";="04847";"HÄMEENSAARENTIE 7";="13100";"HÄMEENLINNA";"TAVARATALO";"K-CITYMARKET HÄMEENSAARI";="24 H AUKIOLO";="";"60.992332";"24.460910"
"EP";="05512";"KAIVOKATU 7";="13100";"HÄMEENLINNA";"KAUPPAKESKUS";"GOODMAN /1 KRS, HEMTEXIN VIERESSÄ";="LIIKETILAN AUKIOLO";="";"60.996670";"24.455860"
"T";="40067";"KAIVOKATU 7";="13100";"HÄMEENLINNA";"KAUPPAKESKUS";"GOODMAN / P1. KRS, GALLERIAN KÄYTÄVÄ";="LIIKETILAN AUKIOLO";="";"60.996670";"24.455860"
"O";="05053";"RAATIHUONEENKATU 17";="13100";"HÄMEENLINNA";"PANKIN KONTTORI";"NORDEA HÄMEENLINNA";="24 H AUKIOLO";="";"60.996005";"24.464759"
"P";="05776";"RAATIHUONEENKATU 21";="13100";"HÄMEENLINNA";"PANKIN KONTTORI";"OP HÄMEENLINNA";="24 H AUKIOLO";="";"60.995690";"24.463280"
"T";="40049";"RAATIHUONEENKATU 21-23";="13100";"HÄMEENLINNA";"KAUPPAKESKUS";"OPTELLI";="LIIKETILAN AUKIOLO";="";"60.995352";"24.462360"
"P";="05888";"KATSASTUSMIEHENTIE 6";="13130";"HÄMEENLINNA";"TAVARATALO";"K-CITYMARKET HÄMEENLINNA";="24 H AUKIOLO";="";"61.006650";"24.419200"
"O";="04630";"WARTIAMÄENTIE 2";="13130";"HÄMEENLINNA";"TAVARATALO";"PRISMA HÄMEENLINNA";="24 H AUKIOLO";="";"61.011070";"24.411380"
"EP";="05508";"WARTIAMÄENTIE 2";="13130";"HÄMEENLINNA";"TAVARATALO";"PRISMA HÄMEENLINNA";="LIIKETILAN AUKIOLO";="";"61.011070";"24.411380"
"EP";="05501";"ASEMA-AUKIO";="13200";"HÄMEENLINNA";"RAUTATIEASEMA";"RAUTATIEASEMA / ASEMAHALLI";="LIIKETILAN AUKIOLO";="";"61.002240";"24.478450"
"O";="04988";"HÄTILÄNKATU 2";="13210";"HÄMEENLINNA";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"61.003290";"24.488380"
"O";="03784";"LAANIITYNKATU 2";="13210";"HÄMEENLINNA";"KAUPPA";"S-MARKET IDÄNPÄÄ";="24 H AUKIOLO";="";"61.006271";"24.506226"
"P";="05771";"HONGISTONKUJA 8";="13500";"HÄMEENLINNA";"LIIKEKIINTEISTÖ";"JUKOLAN LIIKEKESKUS";="LIIKETILAN AUKIOLO";="";"60.984380";"24.417030"
"O";="03934";"OJOISTENKATU 2";="13600";"HÄMEENLINNA";"LIIKEKIINTEISTÖ";"OJOISTEN LIIKEKESKUS";="24 H AUKIOLO";="";"61.007233";"24.442845"
"O";="05013";"PAROISTENTIE 1";="13600";"HÄMEENLINNA";"LIIKENNEPAIKKA";"ABC TIIRIÖ";="24 H AUKIOLO";="";"61.014626";"24.417134"
"O";="04333";"KINNALANTIE 3";="13720";"PAROLA";"LIIKEKIINTEISTÖ";"HATTULAN SÄÄSTÖPANKIN TORI";="24 H AUKIOLO";="";"61.054940";"24.372430"
"P";="05773";"HARVIALANTIE 7";="14200";"TURENKI";"PANKIN KONTTORI";"OP JANAKKALA";="24 H AUKIOLO";="";"60.922732";"24.648636"
"T";="40079";"HARVIALANTIE 7";="14200";"TURENKI";"PANKIN KONTTORI";"OP JANAKKALA";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 5.00 -22.00";"60.922730";"24.648640"
"O";="04570";"RENGONRAITTI 16";="14300";"RENKO";"PANKIN KONTTORI";"OP RENKO";="24 H AUKIOLO";="";"60.893987";"24.281003"
"O";="04164";"KOTKAJÄRVENTIE 1";="14500";"IITTALA";"PANKIN KONTTORI";"OP KONTTORI";="24 H AUKIOLO";="";"61.090870";"24.136281"
"O";="04328";"HAUHONTIE 13";="14700";"HAUHO";"PANKIN KONTTORI";"OP HAUHO";="24 H AUKIOLO";="";"61.172105";"24.562418"
"P";="05853";"POHJOISTENTIE 70";="14810";"TUULOS";"KAUPPAKESKUS";"TUULONEN";="24 H AUKIOLO";="";"61.106370";"24.865315"
"O";="04290";"LAUNEENKATU 14";="15100";"LAHTI";"HUOLTOASEMA";"NESTE LAUNE";="24 H AUKIOLO";="";"60.967971";"25.653966"
"O";="04717";"ALEKSANTERINKATU 10";="15110";"LAHTI";"RAVINTOLA";"AMARILLO";="24 H AUKIOLO";="";"60.983097";"25.657515"
"EP";="05527";"ALEKSANTERINKATU 19";="15110";"LAHTI";"TAVARATALO";"SOKOS LAHTI / NEUVONTA";="LIIKETILAN AUKIOLO";="";"60.982746";"25.659351"
"P";="05894";"ALEKSANTERINKATU 19 - 21";="15110";"LAHTI";"TAVARATALO";"SOKOS LAHTI";="24 H AUKIOLO";="";"60.982750";"25.659350"
"T";="40035";"ALEKSANTERINKATU 8";="15110";"LAHTI";"PANKIN KONTTORI";"DANSKE LAHTI";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 06-22";"60.983390";"25.654520"
"O";="04054";"JALKARANNANTIE 1";="15110";"LAHTI";"LINJA-AUTOASEMA";"LINJA-AUTOASEMA / LAHTI";="24 H AUKIOLO";="";"60.985524";"25.648369"
"O";="04317";"ALEKSANTERINKATU 18";="15140";"LAHTI";"KAUPPAKESKUS";"TRIO";="24 H AUKIOLO";="";"60.982650";"25.662220"
"EP";="05535";"ALEKSANTERINKATU 18-22";="15140";"LAHTI";"KAUPPAKESKUS";"TRIO / ALEKSANTERI POHJAKERROS";="LIIKETILAN AUKIOLO";="";"60.982650";"25.662220"
"T";="40050";"ALEKSANTERINKATU 18-22";="15140";"LAHTI";"KAUPPAKESKUS";"TRIO";="LIIKETILAN AUKIOLO";="";"60.982714";"25.662048"
"P";="05809";"ANKKURIKATU 1";="15140";"LAHTI";"LIIKEKIINTEISTÖ";"S-MARKET ANKKURI";="24 H AUKIOLO";="";"60.996360";"25.656382"
"O";="04581";"KAUPPAKATU 13";="15140";"LAHTI";"TAVARATALO";"K-CITYMARKET PAAVOLA";="24 H AUKIOLO";="";"60.985970";"25.666247"
"P";="05670";"KAUPPAKATU 16";="15140";"LAHTI";"TAVARATALO";"ANTTILA LAHTI";="24 H AUKIOLO";="";"60.985977";"25.665882"
"O";="04493";"KAUPPAKATU 18";="15140";"LAHTI";"KAUPPAKESKUS";"SYKE / PÄÄKÄYTÄVÄ";="LIIKETILAN AUKIOLO";="";"60.987205";"25.665447"
"EP";="05619";"KAUPPAKATU 18";="15140";"LAHTI";"KAUPPAKESKUS";"SYKE / S-MARKET";="LIIKETILAN AUKIOLO";="";"60.987205";"25.665447"
"O";="05189";"VIIPURINTIE 2";="15150";"LAHTI";"RAVINTOLA";"RAVINTOLA MÖYSÄN BAARI";="24 H AUKIOLO";="";"60.979193";"25.685332"
"EP";="05549";"KAUPPIAANKATU 2";="15160";"LAHTI";"KAUPPAKESKUS";"KARISMA";="LIIKETILAN AUKIOLO";="";"60.982880";"25.737500"
"EP";="05550";"KAUPPIAANKATU 2";="15160";"LAHTI";"KAUPPAKESKUS";"KARISMA";="LIIKETILAN AUKIOLO";="";"60.982880";"25.737500"
"O";="03753";"AHTIALANTIE 37";="15170";"LAHTI";"KAUPPA";"K-MARKET JOUTJÄRVI";="24 H AUKIOLO";="";"60.983530";"25.702443"
"P";="05823";"HIRSIMETSÄNTIE 52";="15200";"LAHTI";"KAUPPA";"S-MARKET KIVERIÖ";="24 H AUKIOLO";="";"60.990359";"25.680840"
"O";="04792";"METSÄPELLONTIE 2";="15210";"LAHTI";"KAUPPA";"SALE METSÄPELTO";="24 H AUKIOLO";="";"60.998318";"25.684717"
"P";="05879";"JOHANNEKSENKATU 2";="15240";"LAHTI";"TAVARATALO";"PRISMA LAHTI HOLMA";="24 H AUKIOLO";="";"61.008305";"25.679243"
"P";="05895";"RITANIEMENKATU 7 - 9";="15240";"LAHTI";"KAUPPA";"S-MARKET MUKKULA";="24 H AUKIOLO";="";"61.015666";"25.664641"
"O";="04685";"ALASENKATU 1";="15300";"LAHTI";"KAUPPA";"K-MARKET AHTIALA";="24 H AUKIOLO";="";"60.998909";"25.758600"
"EP";="05544";"AJOKATU 53";="15500";"LAHTI";"KAUPPAKESKUS";"K-CITYMARKET LAUNE";="LIIKETILAN AUKIOLO";="";"60.964181";"25.659540"
"P";="05896";"OSTOSKATU 8";="15500";"LAHTI";"KAUPPA";"SALE LIIPOLA";="24 H AUKIOLO";="";"60.962400";"25.670280"
"O";="05210";"LÄHDETIE 2";="15540";"VILLÄHDE";"KAUPPA";"K-MARKET SOLINA";="24 H AUKIOLO";="";"60.946690";"25.805000"
"O";="03938";"MAJAKKATIE 2";="15540";"VILLÄHDE";"LIIKENNEPAIKKA";"ABC NASTOLA";="24 H AUKIOLO";="";"60.948499";"25.886692"
"P";="05875";"LEKATIE 1";="15550";"NASTOLA";"PANKIN KONTTORI";"OP NASTOLA";="24 H AUKIOLO";="";"60.936357";"25.960564"
"O";="04390";"MUURARINTIE 4";="15550";"NASTOLA";"PANKIN KONTTORI";"NORDEA NASTOLA";="24 H AUKIOLO";="";"60.937322";"25.962096"
"O";="04432";"AURANTIE 11";="15560";"NASTOLA";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"60.947710";"25.928440"
"EP";="05520";"APILAKATU 2";="15610";"LAHTI";"TAVARATALO";"PRISMA LAHTI LAUNE";="LIIKETILAN AUKIOLO";="";"60.958750";"25.655540"
"EP";="05521";"APILAKATU 2";="15610";"LAHTI";"TAVARATALO";"PRISMA LAHTI LAUNE";="LIIKETILAN AUKIOLO";="";"60.958747";"25.655543"
"O";="04204";"KEIJUTIE 13";="15700";"LAHTI";"KIOSKI";"S-MARKET KOTIPOKKI / R-KIOSKI";="24 H AUKIOLO";="";"60.969250";"25.632260"
"O";="04205";"KEIJUTIE 13";="15700";"LAHTI";"KIOSKI";"S-MARKET KOTIPOKKI / R-KIOSKI";="24 H AUKIOLO";="";"60.969250";"25.632260"
"O";="04584";"PASAASI 2";="15700";"LAHTI";"KAUPPAKESKUS";"KÄRKKÄINEN / LAHTI";="24 H AUKIOLO";="";"60.935301";"25.625920"
"T";="40097";"PASAASI 2";="15700";"LAHTI";"TAVARATALO";"KÄRKKÄINEN / LAHTI";="LIIKETILAN AUKIOLO";="";"60.935300";"25.625920"
"EP";="05538";"SIMOLANMUTKA 1";="15700";"LAHTI";"LIIKENNEPAIKKA";"ABC RENKOMÄKI";="LIIKETILAN AUKIOLO";="";"60.935592";"25.633951"
"O";="04515";"HENNALANKATU 5";="15810";"LAHTI";"KAUPPA";"K-SUPERMARKET OKEROINEN";="24 H AUKIOLO";="";"60.966607";"25.581422"
"O";="03719";"PETSAMONKATU 9";="15830";"LAHTI";"KAUPPA";"S-MARKET METSÄKANGAS";="24 H AUKIOLO";="";"60.980937";"25.593021"
"EP";="05545";"KESKUSSAIRAALANKATU 7";="15850";"LAHTI";"SAIRAALA";"PÄIJÄT-HÄMEEN KESKUSSAIRAALA";="LIIKETILAN AUKIOLO";="";"60.991119";"25.568203"
"EP";="05656";"KANSANKATU 8";="15870";"HOLLOLA";"KAUPPA";"S-MARKET HOLLOLA";="LIIKETILAN AUKIOLO";="";"60.988972";"25.516347"
"T";="40076";"KANSANKATU 8";="15870";"HOLLOLA";"PANKIN KONTTORI";"OP HOLLOLA";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 6-23";"60.988970";"25.516350"
"P";="05775";"TARMONTIE 7";="15870";"HOLLOLA";"KAUPPA";"K-SUPERMARKET HOLLOLA";="24 H AUKIOLO";="";"60.988910";"25.544900"
"O";="05057";"VUORISENKATU 4";="15950";"LAHTI";"KAUPPA";"S-MARKET JALKARANTA";="24 H AUKIOLO";="";"60.996796";"25.592351"
"O";="04354";"ERKONTIE 11";="16300";"ORIMATTILA";"PANKIN KONTTORI";"OP ORIMATTILA";="24 H AUKIOLO";="";"60.804621";"25.732582"
"O";="04927";"KÄKELÄNTIE 3";="16300";"ORIMATTILA";"KAUPPA";"K-SUPERMARKET ORIMATTILA";="24 H AUKIOLO";="";"60.803109";"25.735097"
"O";="03743";"HÄHKÄNIEMENTIE 3";="16600";"JÄRVELÄ";"PANKIN KONTTORI";"OP KÄRKÖLÄ JÄRVELÄ";="24 H AUKIOLO";="";"60.868150";"25.275060"
"O";="04748";"KESKUSTIE 25";="16800";"HÄMEENKOSKI";"PANKIN KONTTORI";"OP HÄMEENKOSKI";="24 H AUKIOLO";="";"61.021128";"25.156658"
"O";="04303";"MOMMILANTIE 1";="16900";"LAMMI";"KAUPPA";"S-MARKET LAMMI";="24 H AUKIOLO";="";"61.079686";"25.011614"
"O";="04229";"MAAKAUPANTIE 1";="17200";"VÄÄKSY";"KAUPPA";"K-SUPERMARKET VÄÄKSY";="24 H AUKIOLO";="";"61.173241";"25.545685"
"O";="04648";"RUSTHOLLINTIE 1";="17200";"VÄÄKSY";"PANKIN KONTTORI";"OP VÄÄKSY";="24 H AUKIOLO";="";"61.172226";"25.550473"
"P";="05852";"KESKUSTIE 21";="17500";"PADASJOKI";"PANKIN KONTTORI";"OP PADASJOKI";="24 H AUKIOLO";="";"61.350820";"25.277280"
"P";="05855";"TORITIE 51";="17800";"KUHMOINEN";"PANKIN KONTTORI";"OP KUHMOINEN";="24 H AUKIOLO";="";"61.563460";"25.182090"
"O";="04573";"HEVOSSAARENTIE 1";="18100";"HEINOLA";"TAVARATALO";"K-CITYMARKET HEINOLA";="24 H AUKIOLO";="";"61.193017";"25.998376"
"P";="05748";"KIRKKOKATU 8";="18100";"HEINOLA";"PANKIN KONTTORI";"NORDEA HEINOLA";="24 H AUKIOLO";="";"61.202656";"26.032844"
"O";="05077";"SAVONTIE 5";="18100";"HEINOLA";"KAUPPA";"K-MARKET RUOKAMESTARI";="24 H AUKIOLO";="";"61.203017";"26.030755"
"T";="40083";"SAVONTIE 7";="18100";"HEINOLA";"PANKIN KONTTORI";"OP HEINOLA";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 6-23";"61.203370";"26.030900"
"O";="04944";"SILTAKATU 31";="18100";"HEINOLA";"KAUPPA";"S-MARKET HEINOLA";="24 H AUKIOLO";="";"61.205868";"26.039447"
"EP";="05624";"TYÖMIEHENTIE 33";="18200";"HEINOLA";"LIIKENNEPAIKKA";"ABC HEINOLA";="LIIKETILAN AUKIOLO";="";"61.231917";"26.045773"
"O";="04613";"VANHATIE 37";="18300";"HEINOLA";"KAUPPA";"K-MARKET KYLÄTÄHTI";="24 H AUKIOLO";="";"61.248160";"26.060443"
"O";="04707";"TERVALAMMENTIE 1";="19110";"VIERUMÄKI";"LIIKENNEPAIKKA";"VIERUMÄEN MATKAKEIDAS";="24 H AUKIOLO";="";"61.106110";"25.930560"
"O";="05138";"MÄYRÄTIE 1";="19410";"KUORTTI";"LIIKENNEPAIKKA";"ABC KUORTTI";="LIIKETILAN AUKIOLO";="";"61.422338";"26.434926"
"O";="04041";"VIRASTOKUJA 2";="19430";"PERTUNMAA";"PANKIN KONTTORI";"OP PERTUNMAA";="24 H AUKIOLO";="";"61.504260";"26.481704"
"O";="04351";"KESKUSTIE 48";="19600";"HARTOLA";"PANKIN KONTTORI";"OP HARTOLA";="24 H AUKIOLO";="";"61.578590";"26.021450"
"O";="05157";"KESKUSTIE 3";="19650";"JOUTSA";"PANKIN KONTTORI";"OP JOUTSA";="24 H AUKIOLO";="";"61.743190";"26.108100"
"O";="04934";"SYSMÄNTIE 36";="19700";"SYSMÄ";"PANKIN KONTTORI";"OP SYSMÄ";="24 H AUKIOLO";="";"61.501950";"25.686810"
"O";="04344";"ANINKAISTENKATU 20";="20100";"TURKU";"LINJA-AUTOASEMA";"TURUN LINJA-AUTOASEMA";="24 H AUKIOLO";="";"60.456838";"22.268566"
"O";="04337";"EERIKINKATU";="20100";"TURKU";"KIOSKI";"KAUPPATORI / EERIKINKATU KIOSKI";="24 H AUKIOLO";="";"60.452490";"22.271690"
"P";="05881";"EERIKINKATU 19";="20100";"TURKU";"KAUPPAKESKUS";"TURUN CENTRUM";="LIIKETILAN AUKIOLO";="";"60.449400";"22.262570"
"O";="05107";"ENSIMMÄINEN LINJA";="20100";"TURKU";"LAIVATERMINAALI";"VIKING TERMINAALI";="LIIKETILAN AUKIOLO";="";"60.434005";"22.222195"
"O";="04194";"HUMALISTONKATU 9";="20100";"TURKU";"PANKIN KONTTORI";"NORDEA HUMALISTO";="24 H AUKIOLO";="";"60.451761";"22.257763"
"O";="04234";"KAUPPATORI";="20100";"TURKU";"KIOSKI";"KAUPPATORI / KALLUN GRILLI";="24 H AUKIOLO";="";"60.451670";"22.266940"
"O";="05278";"KAUPPIASKATU 7";="20100";"TURKU";"TAVARATALO";"SOKOS  WIKLUND";="24 H AUKIOLO";="";"60.451757";"22.268618"
"O";="05005";"KAUPPIASKATU 9 B";="20100";"TURKU";"PANKIN KONTTORI";"NORDEA TURKU KAUPPATORI";="24 H AUKIOLO";="";"60.452470";"22.267640"
"O";="05006";"KAUPPIASKATU 9 B";="20100";"TURKU";"PANKIN KONTTORI";"NORDEA TURKU KAUPPATORI";="24 H AUKIOLO";="";"60.452390";"22.267760"
"T";="40036";"KAUPPIASKATU 9 B";="20100";"TURKU";"PANKIN KONTTORI";"NORDEA TURKU KAUPPATORI";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 6-22";"60.452360";"22.267850"
"T";="40044";"MAARIANKATU 4";="20100";"TURKU";"PANKIN KONTTORI";"OP TURKU";="ITSEPALVELUALUEEN AUKIOLO";="klo 6 - 23";"60.454430";"22.268220"
"O";="04928";"PUUTARHAKATU 36";="20100";"TURKU";"KAUPPA";"K-MARKET PORTSA";="24 H AUKIOLO";="";"60.446279";"22.242964"
"O";="04228";"VERKATEHTAANKATU 4";="20100";"TURKU";"KAUPPA";"VALINTATALO VERKAHOVI";="24 H AUKIOLO";="";"60.457680";"22.273540"
"O";="05170";"YLIOPISTONKATU 20";="20100";"TURKU";"KAUPPAKESKUS";"HANSATORI";="LIIKETILAN AUKIOLO";="";"60.450520";"22.263940"
