"Malli";"Numero";"Kohteen osoite";"Postinumero";"Postitoimipaikka";"Sijaintipaikan tyyppi";"Sijaintipaikka";"Aukioloaika";"Aukioloaika (lisätiedot)";"Koordinaatti LAT";"Koordinaatti LON"
"EP";="05603";"URHO KEKKOSEN KATU 1";="00100";"HELSINKI";"KAUPPAKESKUS";"KAMPPI / E - TASO";="LIIKETILAN AUKIOLO";="";"60.168790";"24.932760"
"O";="04872";"BULEVARDI 5";="00120";"HELSINKI";"PANKIN KONTTORI";"OP BULEVARDI";="24 H AUKIOLO";="";"60.165190";"24.939130"
"P";="05799";"HIETALAHDENRANTA 7";="00120";"HELSINKI";"KAUPPA";"S-MARKET BULEVARDI";="LIIKETILAN AUKIOLO";="";"60.161058";"24.929899"
"O";="04654";"ISO ROOBERTINKATU 20 - 22";="00120";"HELSINKI";"KAUPPA";"K-MARKET ROBERT";="24 H AUKIOLO";="";"60.163167";"24.941470"
"O";="04764";"KAPTEENINKATU 24";="00140";"HELSINKI";"LIIKEKIINTEISTÖ";"HUONEISTOKESKUS";="24 H AUKIOLO";="";"60.158572";"24.945957"
"O";="04712";"PERÄMIEHENKATU 10";="00150";"HELSINKI";"KAUPPA";"ALEPA PERÄMIEHENKATU";="24 H AUKIOLO";="";"60.158717";"24.934486"
"O";="04858";"KATAJANOKAN TERMINAALI";="00160";"HELSINKI";"LAIVATERMINAALI";"KATAJANOKAN TERMINAALI K-8";="LIIKETILAN AUKIOLO";="";"60.163670";"24.968110"
"O";="05216";"SATAMAKATU 3";="00160";"HELSINKI";"KAUPPA";"K-MARKET KATAJANOKKA";="24 H AUKIOLO";="";"60.167530";"24.962200"
"O";="04323";"LIISANKATU 18";="00170";"HELSINKI";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"60.174050";"24.953620"
"O";="04092";"ITÄMERENKATU 14";="00180";"HELSINKI";"METROASEMA";"METROASEMA RUOHOLAHTI";="LIIKETILAN AUKIOLO";="";"60.163210";"24.914850"
"O";="04660";"ITÄMERENKATU 21";="00180";"HELSINKI";"KAUPPAKESKUS";"RUOHOLAHTI 1. KRS";="LIIKETILAN AUKIOLO";="";"60.163410";"24.909460"
"EP";="05637";"ITÄMERENKATU 21";="00180";"HELSINKI";"KAUPPAKESKUS";"RUOHOLAHTI / CM";="LIIKETILAN AUKIOLO";="";"60.163306";"24.910252"
"T";="40102";"ITÄMERENKATU 21";="00180";"HELSINKI";"KAUPPAKESKUS";"RUOHOLAHTI";="LIIKETILAN AUKIOLO";="";"60.163570";"24.910810"
"EP";="05463";"ITÄMERENTORI 2";="00180";"HELSINKI";"KAUPPA";"S-MARKET RUOHOLAHTI";="LIIKETILAN AUKIOLO";="";"60.163734";"24.914050"
"P";="05727";"MELKONKATU 28 C";="00210";"HELSINKI";"PANKIN KONTTORI";"NORDEA LAUTTASAARI-HEIKKAANAUKIO";="24 H AUKIOLO";="";"60.153714";"24.881355"
"EP";="05573";"TYYNENMERENKATU 8";="00220";"HELSINKI";"LAIVATERMINAALI";"LÄNSITERMINAALI";="LIIKETILAN AUKIOLO";="";"60.154860";"24.921190"
